epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4673,1.71422,2.36773,2.70975,0.64309,0.57332,0.58348,0.28765,1.67312,1.86332,2.86624,0.000475632,0.000475632,0.000475632
2,161.226,1.60853,1.79352,2.70286,0.70649,0.64259,0.66548,0.35001,1.55868,1.51476,2.73255,0.000942541,0.000942541,0.000942541
3,236.574,1.58691,1.68714,2.68215,0.72977,0.6114,0.67114,0.35581,1.54983,1.46813,2.70281,0.00140002,0.00140002,0.00140002
4,311.05,1.55601,1.6375,2.67158,0.76738,0.64425,0.7184,0.40095,1.53427,1.35332,2.71501,0.00138656,0.00138656,0.00138656
5,395.906,1.49837,1.52215,2.65292,0.77276,0.65373,0.72419,0.42183,1.44756,1.32973,2.62399,0.00137241,0.00137241,0.00137241
6,487.802,1.47629,1.4792,2.62063,0.81874,0.65519,0.74194,0.41316,1.51377,1.28171,2.72095,0.00135826,0.00135826,0.00135826
7,578.238,1.46113,1.44199,2.60745,0.78342,0.6766,0.74504,0.43538,1.44066,1.29975,2.62717,0.00134412,0.00134412,0.00134412
8,669.017,1.42428,1.4156,2.57982,0.82779,0.6835,0.76961,0.4633,1.38647,1.17599,2.59946,0.00132997,0.00132997,0.00132997
9,759.998,1.41187,1.35961,2.57271,0.8289,0.69188,0.77182,0.45765,1.38974,1.13735,2.60402,0.00131582,0.00131582,0.00131582
10,852.605,1.40448,1.34236,2.56525,0.81613,0.70507,0.77552,0.47677,1.34703,1.10584,2.56977,0.00130168,0.00130168,0.00130168
11,943.233,1.38424,1.30886,2.54543,0.82947,0.69309,0.78182,0.47217,1.36321,1.12701,2.56614,0.00128753,0.00128753,0.00128753
12,1033.72,1.37063,1.29066,2.54586,0.83566,0.72638,0.78808,0.48632,1.36096,1.10039,2.58353,0.00127338,0.00127338,0.00127338
13,1125.08,1.36513,1.28027,2.54231,0.83481,0.72239,0.79585,0.49495,1.36598,1.04926,2.59876,0.00125923,0.00125923,0.00125923
